contact_fraction,contacts,observed_subscriptions,precision,recall,random_expected_subscriptions
0.1,824,353,0.42839805825242716,0.13897637795275591,254.0616654527798
0.2,1648,677,0.4108009708737864,0.26653543307086613,508.1233309055596
0.3,2472,887,0.35881877022653724,0.34921259842519686,762.1849963583394
0.4,3296,1038,0.3149271844660194,0.4086614173228346,1016.2466618111192
0.5,4119,1147,0.27846564700169946,0.4515748031496063,1270.0
0.6,4943,1296,0.2621889540764718,0.510236220472441,1524.0616654527798
0.7,5767,1384,0.23998612796948154,0.5448818897637795,1778.1233309055597
0.8,6591,1749,0.2653618570778334,0.6885826771653544,2032.1849963583395
0.9,7415,2141,0.2887390424814565,0.8429133858267717,2286.2466618111193
1.0,8238,2540,0.3083272638990046,1.0,2540.0
