year,production_kt,price_us_cent_lb,exports_usd_m,production_kt_index,production_kt_yoy,price_us_cent_lb_index,price_us_cent_lb_yoy,exports_usd_m_index,exports_usd_m_yoy
1976,1005.2,63.611,1233.2,100.0,,100.0,,100.0,
1977,1056.2,59.29,1161.4,105.07361719060883,5.073617190608837,93.20714970681172,-6.7928502931882795,94.177748945832,-5.8222510541680155
1978,1035.5,61.886,1218.7,103.01432550736172,-1.9598560878621551,97.28820487022686,4.378478664192964,98.82419721050924,4.933700706044419
1979,1065.0,89.83,1887.9,105.94906486271388,2.848865282472235,141.21771391740424,45.15399282551789,153.0895231916964,54.91097070649052
1980,1074.6,99.174,2124.7,106.90409868682848,0.9014084507042108,155.90699721746242,10.401870199265284,172.29159909179367,12.543037237141785
1981,1081.1,78.949,1737.8,107.55073617190607,0.6048762330169266,124.11218185533949,-20.393449896142148,140.91793707427829,-18.20962959476632
1982,1240.7,67.057,1684.6,123.42817349781137,14.762741652021095,105.41730203895553,-15.062888700300192,136.6039571845605,-3.061341926573835
1983,1257.2,72.173,1874.9,125.06963788300835,1.3298944144434666,113.45993617456101,7.629330271261758,152.03535517353228,11.296450195892206
1984,1290.0,62.449,1603.9,128.3326701153999,2.608972319440017,98.1732719183789,-13.47318249206767,130.0600064871878,-14.454104218891672
1985,1356.0,64.281,1788.7,134.8985276561878,5.116279069767438,101.05327694895539,2.9335938125510497,145.0454103146286,11.521915331379763
1986,1401.1,62.287,1757.1,139.38519697572622,3.3259587020648906,97.91859898445237,-3.1020052581633872,142.48297113201426,-1.766646167607766
1987,1418.3,81.086,2234.7,141.09629924393155,1.2276068803083406,127.4716637059628,30.181257726331335,181.2114823224132,27.18115075977463
1988,1451.0,117.937,3416.2,144.34938320732192,2.3055770993442914,185.4034679536558,45.446809560220004,277.01913720402206,52.87063140466282
1989,1609.3,129.113,4021.4,160.0974930362117,10.909717436250865,202.97275628429045,9.47624579224502,326.09471294193963,17.71559042210644
1990,1588.4,120.879,3810.2,158.0183048149622,-1.298701298701288,190.02845419817328,-6.377359367375856,308.96853713915016,-5.251902322574232
1991,1814.3,106.066,3617.3,180.49144448865897,14.221858473936022,166.74160129537344,-12.254403163494077,293.32630554654554,-5.062726366070014
1992,1932.7,103.573,3886.0,192.27019498607243,6.5259328666703365,162.82246781217086,-2.3504233213282433,315.1151475835225,7.428192298122904
1993,2055.4,86.713,3247.8,204.4767210505372,6.348631448233033,136.31761802204022,-16.278373707433403,263.36360687641906,-16.42305712815234
1994,2219.9,104.903,4242.0,220.84162355750098,8.003308358470363,164.91330115860467,20.977246779606308,343.98313331170937,30.611490855348222
1995,2488.6,133.198,6487.1,247.57262236370872,12.104148835533124,209.39460156262285,26.972536533750223,526.0379500486539,52.92550683639794
1996,3115.8,103.894,5838.5,309.96816553919615,25.202925339548354,163.32709751458083,-22.000330335290318,473.4430749270191,-9.998304327049068
1997,3392.0,103.224,6851.0,337.44528452049343,8.864497079401756,162.27382056562544,-0.6448880589831951,555.5465455724943,17.341782992206902
1998,3686.9,74.974,5323.7,366.7827298050139,8.693985849056606,117.86326264325353,-27.367666434162597,431.69802140771975,-22.293095898409
1999,4391.2,71.38,6163.8,436.8483883804218,19.10276926415144,112.2132964424392,-4.793661802758297,499.8216023353876,15.7803783083194
2000,4602.0,82.294,7286.3,457.8193394349383,4.800510111131362,129.37070632437786,15.289997198094717,590.8449562114823,18.2111684350563
2001,4739.0,71.566,6525.9,471.4484679665738,2.976966536288561,112.5056986999104,-13.036187328359294,529.1842361336361,-10.436023770638059
2002,4580.6,70.647,6279.3,455.6904098686829,-3.342477315889425,111.06098001917908,-1.2841293351591454,509.1874797275381,-3.7787891325334333
2003,4904.2,80.734,7998.83103463,487.88300835654593,7.064576693009639,126.91830029397431,14.27803020651972,648.6239891850471,27.384119800455476
2004,5412.5,130.106,15392.11526335,538.450059689614,10.364585457363074,204.53380704595116,61.15391284960487,1248.1442801938047,92.4295587281647
2005,5320.5,167.087,19911.68966426,529.2976522085157,-1.6997690531177834,262.6699784628444,28.42374679107804,1614.6358793593902,29.362919414146482
2006,5360.8,305.295,33990.18785551,533.3068046159968,0.7574476083074932,479.94057631541716,82.71618976940158,2756.259151436101,70.70468869610727
2007,5557.0,323.246,39145.89267476,552.825308396339,3.6599015072377172,508.1605382716826,5.879886666994216,3174.334469247486,15.168215136575757
2008,5327.6,315.316,31688.05524278,530.0039793076005,-4.128126687061362,495.69414095046454,-2.4532399472847355,2569.5795688274407,-19.05139191470928
2009,5394.4,234.217,29637.3174108,536.6494230003979,1.2538478864779545,368.20204052758174,-25.719912722475225,2403.2855506649366,-6.471643072659861
2010,5418.9,341.978,41285.929052738,539.0867489056903,0.4541746996885587,537.6082752982975,46.00904289611769,3347.8696928915015,39.30386640760268
2011,5262.8,399.656,44624.65105941,523.5575009948269,-2.8806584362139787,628.2812721070255,16.86599722789186,3618.606151427992,8.086827844923071
2012,5433.9,360.593,41906.064698,540.5789892558695,3.2511210762331766,566.8720818726322,-9.77415577396561,3398.156397826792,-6.092117914357842
2013,5776.0,332.12,39891.466376047,574.6120175089534,6.295662415576286,522.1109556523243,-7.896159936548964,3234.7929270229483,-4.807414717825198
2014,5761.1,311.255,37256.6867099,573.1297254277755,-0.25796398891966277,489.3100249956769,-6.282367818860656,3021.139045564385,-6.604870428450993
2015,5772.1,249.226,29935.4678184984,574.2240350179069,0.1909357587960736,391.79701623932965,-19.928675844564747,2427.4625217724943,-19.650751416540146
2016,5552.6,220.563,27926.969159,552.3875845602865,-3.8027754196912733,346.7371995409599,-11.50080649691445,2264.593671667207,-6.709427999175155
2017,5503.5,279.684,34000.920585056,547.5029844807003,-0.8842704318697603,439.67867192781125,26.80458644468928,2757.1294668387936,21.74941144337732
2018,5831.6,295.88,35605.1967582635,580.1432550736172,5.961660761333709,465.1396770998727,5.790821069492691,2887.21997715403,4.71833157927084
2019,5787.4,272.143,32572.9287244722,575.7461201750895,-0.7579395020234747,427.8238040590463,-8.022509125321086,2641.3338245598607,-8.516363648763004
2020,5733.1,280.349,38467.2431524336,570.3442101074413,-0.9382451532639724,440.7240886010281,3.015326501140958,3119.30288294142,18.095745942344355
