origin,product_id,model,actual_units,absolute_error,signed_error
2025-08-01,SKU-001,seasonal_naive,184,64.0,36.0
2025-08-01,SKU-001,weekday_mean_8w,184,84.5,70.5
2025-08-01,SKU-002,seasonal_naive,54,44.0,-2.0
2025-08-01,SKU-002,weekday_mean_8w,54,34.25,6.5
2025-08-01,SKU-003,seasonal_naive,138,78.0,14.0
2025-08-01,SKU-003,weekday_mean_8w,138,39.0,12.5
2025-08-01,SKU-004,seasonal_naive,271,225.0,149.0
2025-08-01,SKU-004,weekday_mean_8w,271,171.25,73.0
2025-08-01,SKU-005,seasonal_naive,46,36.0,-2.0
2025-08-01,SKU-005,weekday_mean_8w,46,31.25,-1.5
2025-08-01,SKU-006,seasonal_naive,83,49.0,29.0
2025-08-01,SKU-006,weekday_mean_8w,83,42.0,17.5
2025-08-01,SKU-007,seasonal_naive,155,85.0,29.0
2025-08-01,SKU-007,weekday_mean_8w,155,69.75,0.0
2025-08-01,SKU-008,seasonal_naive,67,77.0,25.0
2025-08-01,SKU-008,weekday_mean_8w,67,53.5,23.5
2025-08-01,SKU-009,seasonal_naive,252,86.0,64.0
2025-08-01,SKU-009,weekday_mean_8w,252,71.0,31.5
2025-08-01,SKU-010,seasonal_naive,86,54.0,-2.0
2025-08-01,SKU-010,weekday_mean_8w,86,56.75,24.0
2025-08-01,SKU-011,seasonal_naive,164,66.0,44.0
2025-08-01,SKU-011,weekday_mean_8w,164,48.0,16.0
2025-08-01,SKU-012,seasonal_naive,92,54.0,0.0
2025-08-01,SKU-012,weekday_mean_8w,92,48.25,-5.0
2025-08-01,SKU-013,seasonal_naive,548,148.0,36.0
2025-08-01,SKU-013,weekday_mean_8w,548,96.5,-3.5
2025-08-01,SKU-014,seasonal_naive,74,44.0,-6.0
2025-08-01,SKU-014,weekday_mean_8w,74,41.75,-11.5
2025-08-01,SKU-015,seasonal_naive,125,79.0,15.0
2025-08-01,SKU-015,weekday_mean_8w,125,76.25,-2.5
2025-08-01,SKU-016,seasonal_naive,185,121.0,31.0
2025-08-01,SKU-016,weekday_mean_8w,185,127.5,-44.5
2025-08-01,SKU-017,seasonal_naive,313,101.0,19.0
2025-08-01,SKU-017,weekday_mean_8w,313,83.5,-4.0
2025-08-01,SKU-018,seasonal_naive,56,32.0,0.0
2025-08-01,SKU-018,weekday_mean_8w,56,31.75,-3.0
2025-08-01,SKU-019,seasonal_naive,461,95.0,-29.0
2025-08-01,SKU-019,weekday_mean_8w,461,100.0,-68.5
2025-08-01,SKU-020,seasonal_naive,69,47.0,-25.0
2025-08-01,SKU-020,weekday_mean_8w,69,37.75,-29.0
2025-08-01,SKU-021,seasonal_naive,376,132.0,28.0
2025-08-01,SKU-021,weekday_mean_8w,376,94.0,-44.0
2025-08-01,SKU-022,seasonal_naive,116,48.0,-4.0
2025-08-01,SKU-022,weekday_mean_8w,116,41.5,-8.5
2025-08-01,SKU-023,seasonal_naive,74,40.0,14.0
2025-08-01,SKU-023,weekday_mean_8w,74,31.0,-3.5
2025-08-01,SKU-024,seasonal_naive,13,21.0,-1.0
2025-08-01,SKU-024,weekday_mean_8w,13,16.5,2.0
2025-08-01,SKU-025,seasonal_naive,353,119.0,-61.0
2025-08-01,SKU-025,weekday_mean_8w,353,96.25,-50.5
2025-08-01,SKU-026,seasonal_naive,273,121.0,-53.0
2025-08-01,SKU-026,weekday_mean_8w,273,81.25,-51.0
2025-08-01,SKU-027,seasonal_naive,180,84.0,16.0
2025-08-01,SKU-027,weekday_mean_8w,180,66.5,0.0
2025-08-01,SKU-028,seasonal_naive,140,118.0,56.0
2025-08-01,SKU-028,weekday_mean_8w,140,102.25,37.0
2025-08-01,SKU-029,seasonal_naive,41,33.0,-9.0
2025-08-01,SKU-029,weekday_mean_8w,41,29.25,-13.5
2025-08-01,SKU-030,seasonal_naive,486,140.0,-70.0
2025-08-01,SKU-030,weekday_mean_8w,486,129.25,-107.0
2025-08-01,SKU-031,seasonal_naive,119,63.0,-35.0
2025-08-01,SKU-031,weekday_mean_8w,119,54.0,-12.5
2025-08-01,SKU-032,seasonal_naive,225,151.0,-1.0
2025-08-01,SKU-032,weekday_mean_8w,225,123.75,-61.5
2025-08-01,SKU-033,seasonal_naive,239,115.0,33.0
2025-08-01,SKU-033,weekday_mean_8w,239,64.0,-22.0
2025-08-01,SKU-034,seasonal_naive,227,91.0,-11.0
2025-08-01,SKU-034,weekday_mean_8w,227,58.0,-6.0
2025-08-01,SKU-035,seasonal_naive,92,68.0,-36.0
2025-08-01,SKU-035,weekday_mean_8w,92,42.75,-24.0
2025-08-01,SKU-036,seasonal_naive,87,67.0,-15.0
2025-08-01,SKU-036,weekday_mean_8w,87,58.25,-8.5
2025-08-01,SKU-037,seasonal_naive,206,76.0,-6.0
2025-08-01,SKU-037,weekday_mean_8w,206,76.0,-5.0
2025-08-01,SKU-038,seasonal_naive,148,78.0,-20.0
2025-08-01,SKU-038,weekday_mean_8w,148,60.75,-14.5
2025-08-01,SKU-039,seasonal_naive,429,123.0,-25.0
2025-08-01,SKU-039,weekday_mean_8w,429,95.0,-49.0
2025-08-01,SKU-040,seasonal_naive,290,214.0,-42.0
2025-08-01,SKU-040,weekday_mean_8w,290,161.25,-5.5
2025-08-01,SKU-041,seasonal_naive,750,186.0,14.0
2025-08-01,SKU-041,weekday_mean_8w,750,157.25,-41.0
2025-08-01,SKU-042,seasonal_naive,34,30.0,-2.0
2025-08-01,SKU-042,weekday_mean_8w,34,25.5,0.5
2025-08-01,SKU-043,seasonal_naive,242,76.0,-30.0
2025-08-01,SKU-043,weekday_mean_8w,242,52.5,-19.5
2025-08-01,SKU-044,seasonal_naive,144,122.0,-76.0
2025-08-01,SKU-044,weekday_mean_8w,144,60.75,-22.0
2025-08-01,SKU-045,seasonal_naive,119,49.0,5.0
2025-08-01,SKU-045,weekday_mean_8w,119,42.75,-1.5
2025-08-01,SKU-046,seasonal_naive,110,66.0,2.0
2025-08-01,SKU-046,weekday_mean_8w,110,50.25,-2.0
2025-08-01,SKU-047,seasonal_naive,103,59.0,1.0
2025-08-01,SKU-047,weekday_mean_8w,103,51.25,1.5
2025-08-01,SKU-048,seasonal_naive,87,99.0,81.0
2025-08-01,SKU-048,weekday_mean_8w,87,80.0,33.5
2025-08-01,SKU-049,seasonal_naive,152,104.0,-12.0
2025-08-01,SKU-049,weekday_mean_8w,152,58.75,-18.5
2025-08-01,SKU-050,seasonal_naive,27,37.0,13.0
2025-08-01,SKU-050,weekday_mean_8w,27,20.0,13.5
2025-08-01,SKU-051,seasonal_naive,76,44.0,-4.0
2025-08-01,SKU-051,weekday_mean_8w,76,41.0,15.5
2025-08-01,SKU-052,seasonal_naive,164,118.0,-44.0
2025-08-01,SKU-052,weekday_mean_8w,164,93.5,-39.5
2025-08-01,SKU-053,seasonal_naive,86,62.0,2.0
2025-08-01,SKU-053,weekday_mean_8w,86,37.0,23.5
2025-08-01,SKU-054,seasonal_naive,125,91.0,15.0
2025-08-01,SKU-054,weekday_mean_8w,125,48.5,3.5
2025-08-01,SKU-055,seasonal_naive,194,82.0,34.0
2025-08-01,SKU-055,weekday_mean_8w,194,57.75,19.0
2025-08-01,SKU-056,seasonal_naive,39,35.0,-27.0
2025-08-01,SKU-056,weekday_mean_8w,39,29.75,-3.5
2025-08-01,SKU-057,seasonal_naive,185,59.0,-17.0
2025-08-01,SKU-057,weekday_mean_8w,185,54.5,13.0
2025-08-01,SKU-058,seasonal_naive,264,82.0,52.0
2025-08-01,SKU-058,weekday_mean_8w,264,76.0,43.0
2025-08-01,SKU-059,seasonal_naive,48,32.0,-8.0
2025-08-01,SKU-059,weekday_mean_8w,48,18.5,-0.5
2025-08-01,SKU-060,seasonal_naive,29,45.0,39.0
2025-08-01,SKU-060,weekday_mean_8w,29,27.25,18.0
2025-08-01,SKU-061,seasonal_naive,118,68.0,-38.0
2025-08-01,SKU-061,weekday_mean_8w,118,61.5,0.5
2025-08-01,SKU-062,seasonal_naive,238,82.0,-14.0
2025-08-01,SKU-062,weekday_mean_8w,238,89.0,16.0
2025-08-01,SKU-063,seasonal_naive,171,73.0,13.0
2025-08-01,SKU-063,weekday_mean_8w,171,66.0,32.5
2025-08-01,SKU-064,seasonal_naive,135,97.0,9.0
2025-08-01,SKU-064,weekday_mean_8w,135,77.75,35.5
2025-08-01,SKU-065,seasonal_naive,30,32.0,10.0
2025-08-01,SKU-065,weekday_mean_8w,30,20.25,8.0
2025-08-01,SKU-066,seasonal_naive,55,55.0,13.0
2025-08-01,SKU-066,weekday_mean_8w,55,47.25,18.0
2025-08-01,SKU-067,seasonal_naive,151,79.0,-23.0
2025-08-01,SKU-067,weekday_mean_8w,151,55.5,6.5
2025-08-01,SKU-068,seasonal_naive,206,162.0,-2.0
2025-08-01,SKU-068,weekday_mean_8w,206,161.75,64.5
2025-08-01,SKU-069,seasonal_naive,56,40.0,-16.0
2025-08-01,SKU-069,weekday_mean_8w,56,40.5,10.5
2025-08-01,SKU-070,seasonal_naive,161,55.0,-13.0
2025-08-01,SKU-070,weekday_mean_8w,161,87.0,31.0
2025-08-01,SKU-071,seasonal_naive,45,27.0,7.0
2025-08-01,SKU-071,weekday_mean_8w,45,26.75,-4.0
2025-08-01,SKU-072,seasonal_naive,130,74.0,-30.0
2025-08-01,SKU-072,weekday_mean_8w,130,67.75,28.5
