origin,model,actual_units,absolute_error,signed_error,wmape
2025-08-01,seasonal_naive,21089,9937.0,11.0,0.4711935132059367
2025-08-01,weekday_mean_8w,21089,8091.0,-93.0,0.38365972782019064
2025-09-01,seasonal_naive,21656,10484.0,-660.0,0.4841152567417806
2025-09-01,weekday_mean_8w,21656,8322.0,-559.5,0.384281492427041
2025-10-01,seasonal_naive,21457,10557.0,347.0,0.4920072703546628
2025-10-01,weekday_mean_8w,21457,8112.25,-75.5,0.37807009367572353
2025-11-01,seasonal_naive,21710,10478.0,-202.0,0.48263473053892214
2025-11-01,weekday_mean_8w,21710,8017.75,-124.5,0.369311377245509
2025-12-01,seasonal_naive,22041,9825.0,-321.0,0.44576017422077036
2025-12-01,weekday_mean_8w,22041,7920.75,-438.5,0.3593643664080577
