month,demand_units
2023-01,24283
2023-02,21838
2023-03,23617
2023-04,22834
2023-05,22892
2023-06,22117
2023-07,23864
2023-08,23239
2023-09,23065
2023-10,24137
2023-11,23361
2023-12,24217
2024-01,23913
2024-02,22185
2024-03,24228
2024-04,22285
2024-05,23339
2024-06,23154
2024-07,23052
2024-08,23424
2024-09,23152
2024-10,23713
2024-11,23541
2024-12,24269
2025-01,24045
2025-02,21475
2025-03,24220
2025-04,22636
2025-05,23606
2025-06,22655
2025-07,23063
2025-08,23681
2025-09,23023
2025-10,23535
2025-11,23745
2025-12,24054
