month,product_id,demand_units
2023-01,SKU-001,272
2023-01,SKU-002,69
2023-01,SKU-003,208
2023-01,SKU-004,559
2023-01,SKU-005,54
2023-01,SKU-006,149
2023-01,SKU-007,281
2023-01,SKU-008,181
2023-01,SKU-009,462
2023-01,SKU-010,151
2023-01,SKU-011,310
2023-01,SKU-012,145
2023-01,SKU-013,960
2023-01,SKU-014,117
2023-01,SKU-015,240
2023-01,SKU-016,228
2023-01,SKU-017,497
2023-01,SKU-018,82
2023-01,SKU-019,674
2023-01,SKU-020,64
2023-01,SKU-021,522
2023-01,SKU-022,170
2023-01,SKU-023,126
2023-01,SKU-024,27
2023-01,SKU-025,379
2023-01,SKU-026,293
2023-01,SKU-027,199
2023-01,SKU-028,148
2023-01,SKU-029,37
2023-01,SKU-030,461
2023-01,SKU-031,98
2023-01,SKU-032,190
2023-01,SKU-033,189
2023-01,SKU-034,197
2023-01,SKU-035,80
2023-01,SKU-036,76
2023-01,SKU-037,174
2023-01,SKU-038,104
2023-01,SKU-039,315
2023-01,SKU-040,184
2023-01,SKU-041,533
2023-01,SKU-042,26
2023-01,SKU-043,190
2023-01,SKU-044,105
2023-01,SKU-045,79
2023-01,SKU-046,91
2023-01,SKU-047,70
2023-01,SKU-048,108
2023-01,SKU-049,114
2023-01,SKU-050,16
2023-01,SKU-051,82
2023-01,SKU-052,139
2023-01,SKU-053,70
2023-01,SKU-054,107
2023-01,SKU-055,179
2023-01,SKU-056,35
2023-01,SKU-057,196
2023-01,SKU-058,285
2023-01,SKU-059,38
2023-01,SKU-060,30
2023-01,SKU-061,130
2023-01,SKU-062,299
2023-01,SKU-063,235
2023-01,SKU-064,167
2023-01,SKU-065,43
2023-01,SKU-066,109
2023-01,SKU-067,219
2023-01,SKU-068,410
2023-01,SKU-069,92
2023-01,SKU-070,335
2023-01,SKU-071,55
2023-01,SKU-072,213
2023-01,SKU-073,173
2023-01,SKU-074,103
2023-01,SKU-075,85
2023-01,SKU-076,256
2023-01,SKU-077,469
2023-01,SKU-078,779
2023-01,SKU-079,33
2023-01,SKU-080,122
2023-01,SKU-081,43
2023-01,SKU-082,313
2023-01,SKU-083,123
2023-01,SKU-084,142
2023-01,SKU-085,381
2023-01,SKU-086,93
2023-01,SKU-087,578
2023-01,SKU-088,156
2023-01,SKU-089,105
2023-01,SKU-090,349
2023-01,SKU-091,88
2023-01,SKU-092,91
2023-01,SKU-093,284
2023-01,SKU-094,173
2023-01,SKU-095,158
2023-01,SKU-096,114
2023-01,SKU-097,56
2023-01,SKU-098,109
2023-01,SKU-099,57
2023-01,SKU-100,147
2023-01,SKU-101,200
2023-01,SKU-102,27
2023-01,SKU-103,105
2023-01,SKU-104,149
2023-01,SKU-105,117
2023-01,SKU-106,154
2023-01,SKU-107,277
2023-01,SKU-108,28
2023-01,SKU-109,265
2023-01,SKU-110,77
2023-01,SKU-111,67
2023-01,SKU-112,223
2023-01,SKU-113,22
2023-01,SKU-114,94
2023-01,SKU-115,78
2023-01,SKU-116,37
2023-01,SKU-117,52
2023-01,SKU-118,741
2023-01,SKU-119,275
2023-01,SKU-120,21
2023-01,SKU-121,166
2023-01,SKU-122,252
2023-01,SKU-123,153
2023-01,SKU-124,156
2023-01,SKU-125,184
2023-01,SKU-126,50
2023-01,SKU-127,198
2023-01,SKU-128,63
2023-02,SKU-001,292
2023-02,SKU-002,97
2023-02,SKU-003,200
2023-02,SKU-004,479
2023-02,SKU-005,59
2023-02,SKU-006,125
2023-02,SKU-007,245
2023-02,SKU-008,102
2023-02,SKU-009,419
2023-02,SKU-010,176
2023-02,SKU-011,304
2023-02,SKU-012,110
2023-02,SKU-013,848
2023-02,SKU-014,100
2023-02,SKU-015,199
2023-02,SKU-016,250
2023-02,SKU-017,394
2023-02,SKU-018,86
2023-02,SKU-019,530
2023-02,SKU-020,62
2023-02,SKU-021,442
2023-02,SKU-022,134
2023-02,SKU-023,90
2023-02,SKU-024,18
2023-02,SKU-025,351
2023-02,SKU-026,250
2023-02,SKU-027,166
2023-02,SKU-028,146
2023-02,SKU-029,37
2023-02,SKU-030,376
2023-02,SKU-031,82
2023-02,SKU-032,157
2023-02,SKU-033,156
2023-02,SKU-034,145
2023-02,SKU-035,72
2023-02,SKU-036,48
2023-02,SKU-037,140
2023-02,SKU-038,85
2023-02,SKU-039,237
2023-02,SKU-040,192
2023-02,SKU-041,494
2023-02,SKU-042,18
2023-02,SKU-043,166
2023-02,SKU-044,88
2023-02,SKU-045,86
2023-02,SKU-046,83
2023-02,SKU-047,71
2023-02,SKU-048,77
2023-02,SKU-049,96
2023-02,SKU-050,30
2023-02,SKU-051,87
2023-02,SKU-052,133
2023-02,SKU-053,99
2023-02,SKU-054,103
2023-02,SKU-055,175
2023-02,SKU-056,37
2023-02,SKU-057,187
2023-02,SKU-058,307
2023-02,SKU-059,38
2023-02,SKU-060,35
2023-02,SKU-061,131
2023-02,SKU-062,273
2023-02,SKU-063,223
2023-02,SKU-064,225
2023-02,SKU-065,31
2023-02,SKU-066,110
2023-02,SKU-067,186
2023-02,SKU-068,376
2023-02,SKU-069,76
2023-02,SKU-070,256
2023-02,SKU-071,61
2023-02,SKU-072,246
2023-02,SKU-073,137
2023-02,SKU-074,68
2023-02,SKU-075,103
2023-02,SKU-076,274
2023-02,SKU-077,360
2023-02,SKU-078,633
2023-02,SKU-079,25
2023-02,SKU-080,124
2023-02,SKU-081,27
2023-02,SKU-082,265
2023-02,SKU-083,106
2023-02,SKU-084,106
2023-02,SKU-085,313
2023-02,SKU-086,78
2023-02,SKU-087,497
2023-02,SKU-088,133
2023-02,SKU-089,100
2023-02,SKU-090,266
2023-02,SKU-091,92
2023-02,SKU-092,57
2023-02,SKU-093,216
2023-02,SKU-094,137
2023-02,SKU-095,140
2023-02,SKU-096,77
2023-02,SKU-097,56
2023-02,SKU-098,99
2023-02,SKU-099,57
2023-02,SKU-100,132
2023-02,SKU-101,165
2023-02,SKU-102,22
2023-02,SKU-103,98
2023-02,SKU-104,150
2023-02,SKU-105,87
2023-02,SKU-106,153
2023-02,SKU-107,287
2023-02,SKU-108,43
2023-02,SKU-109,234
2023-02,SKU-110,88
2023-02,SKU-111,59
2023-02,SKU-112,179
2023-02,SKU-113,44
2023-02,SKU-114,90
2023-02,SKU-115,75
2023-02,SKU-116,60
2023-02,SKU-117,41
2023-02,SKU-118,711
2023-02,SKU-119,269
2023-02,SKU-120,15
2023-02,SKU-121,130
2023-02,SKU-122,264
2023-02,SKU-123,157
2023-02,SKU-124,199
2023-02,SKU-125,191
2023-02,SKU-126,59
2023-02,SKU-127,201
2023-02,SKU-128,84
2023-03,SKU-001,334
2023-03,SKU-002,95
2023-03,SKU-003,210
2023-03,SKU-004,586
2023-03,SKU-005,63
2023-03,SKU-006,151
2023-03,SKU-007,249
2023-03,SKU-008,168
2023-03,SKU-009,475
2023-03,SKU-010,167
2023-03,SKU-011,296
2023-03,SKU-012,141
2023-03,SKU-013,843
2023-03,SKU-014,101
2023-03,SKU-015,190
2023-03,SKU-016,297
2023-03,SKU-017,421
2023-03,SKU-018,87
2023-03,SKU-019,578
2023-03,SKU-020,60
2023-03,SKU-021,408
2023-03,SKU-022,135
2023-03,SKU-023,105
2023-03,SKU-024,13
2023-03,SKU-025,324
2023-03,SKU-026,254
2023-03,SKU-027,146
2023-03,SKU-028,141
2023-03,SKU-029,34
2023-03,SKU-030,364
2023-03,SKU-031,83
2023-03,SKU-032,128
2023-03,SKU-033,158
2023-03,SKU-034,160
2023-03,SKU-035,60
2023-03,SKU-036,59
2023-03,SKU-037,141
2023-03,SKU-038,92
2023-03,SKU-039,306
2023-03,SKU-040,229
2023-03,SKU-041,576
2023-03,SKU-042,24
2023-03,SKU-043,188
2023-03,SKU-044,98
2023-03,SKU-045,101
2023-03,SKU-046,97
2023-03,SKU-047,78
