date,model,actual_units,absolute_error,signed_error,wmape
2025-08-01,seasonal_naive,21089,9937.0,11.0,47.11935132059367
2025-08-01,weekday_mean_8w,21089,8091.0,-93.0,38.36597278201906
2025-09-01,seasonal_naive,21656,10484.0,-660.0,48.41152567417806
2025-09-01,weekday_mean_8w,21656,8322.0,-559.5,38.4281492427041
2025-10-01,seasonal_naive,21457,10557.0,347.0,49.20072703546628
2025-10-01,weekday_mean_8w,21457,8112.25,-75.5,37.80700936757235
2025-11-01,seasonal_naive,21710,10478.0,-202.0,48.263473053892206
2025-11-01,weekday_mean_8w,21710,8017.75,-124.5,36.9311377245509
2025-12-01,seasonal_naive,22041,9825.0,-321.0,44.57601742207703
2025-12-01,weekday_mean_8w,22041,7920.75,-438.5,35.936436640805766
