date,demand_units
2023-01-01,24283
2023-02-01,21838
2023-03-01,23617
2023-04-01,22834
2023-05-01,22892
2023-06-01,22117
2023-07-01,23864
2023-08-01,23239
2023-09-01,23065
2023-10-01,24137
2023-11-01,23361
2023-12-01,24217
2024-01-01,23913
2024-02-01,22185
2024-03-01,24228
2024-04-01,22285
2024-05-01,23339
2024-06-01,23154
2024-07-01,23052
2024-08-01,23424
2024-09-01,23152
2024-10-01,23713
2024-11-01,23541
2024-12-01,24269
2025-01-01,24045
2025-02-01,21475
2025-03-01,24220
2025-04-01,22636
2025-05-01,23606
2025-06-01,22655
2025-07-01,23063
2025-08-01,23681
2025-09-01,23023
2025-10-01,23535
2025-11-01,23745
2025-12-01,24054
